$	700
response	785
restrict	457
result	99_133
rhetoric	81
rise	460
river	847
roll	96
round	156
rule	557
ruling	538
sack	159
sallen	234
say	214_238_343_374_412_536_607_644_746_778
scientist	373
sea	443
seal	84
service	545_564
seven	710
several	246
sewage	800_842
significant	281
six	390
so	113_547_652
soldier	182_750
son	126
south	817
southern	716
speak	325
split	825
stage	110
state	30_32_118_285
such	276_280
suggest	260_488
support	40_72_254
suppression	308
supreme	514
surround	445
suspend	161
swaziland	735
target	503
tayyip	196
teacher	204
temperature	386_459
term	364
terrorist	597
than	191_400_837
that	35_477_489_558
the	8_14_22_43_53_57_85_88_104_107_122_132_138_170_173_179_209_212_219_231_239_242_258_265_284_292_296_303_307_310_336_340_344_363_366_369_378_388_416_440_446_452_478_493_500_512_531_534_537_544_563_581_590_603_616_621_679_691_762_782_789_794_806_811_844
there	593_654_661
these	250_472_639
they	163_215_270_319_427_759
third	423
this	495
threat	617
threshold	480
through	392
to	41_188_193_202_218_273_316_326_329_456_461_475_491_505_524_528_568_573_577_611_613_643_650_678_684_703_705_786_808
town	764
treaty	367
trump	2_37
tuesday	201_833
turkey	166_357
turmp	115
turn	64
two	345_370
under	362
university	206
up	157
upside	67
us	15_220_409
use	306_549
valls	587
vote	33
wake	171
warmest	379
warn	589
we	145_628_669
week	177_626
well	462
what	687
whatsapp	529
when	753
whether	299
which	561
white	341
who	226
widely	548
will	414_497_594_629_655_662
with	75_137_570_615_632_686
within	283
word	139_640
world	692
would	358_609
wound	772
year	55_418_425_496
york	62_136
you	147
zambia	737
zimbabwe	739
°	468
°c	398_465
