's	92_245_308_332_506_577
lose	459
low	588
lower	104
macintosh	4
majority	48
make	784
man	668_692_759
marriage	472
matiur	325
means	236
media	177_711
medication	370
meet	846
melbourn	705
meter	699
michael	368
military	608
millitant	686
minnesota	342
month	381_426
more	203
musa	717
name	161
neck	866
new	824
news	8_526_874
nigeria	613
nizami	327
nor	393
northeast	612
northern	440
not	386
now	110_484_513
occasion	267
ocean	677
of	49_86_106_172_215_305_341_433_461_471_493_522_620_672_762_817
office	126
official	497
on	56_221_265_555
opinion	285
opponent	121
or	646
other	550
out	214_298
overcrowded	635
own	507
pakistan.the	322
party	311
passport	771
paton	725
pend	147
people	546
perfectly	750
phillipuse	820
plan	673
player	825
police	362_660_730
political	120
poll	286
poor	603
pop	350
possibly	798
prayer	474
preacher	716
prescribe	369_391
presidency	174
president	14_54_74
presidential	183_278
primary	194_235
prince	352
prison	334
prisoner	598
proceedings	25
process	35
project	179
protective	843
qi	564
queensland	709
question	344
quietly	229
race	257
radical	715
rahman	326
rate	590
really	99
receive	417
recent	130
recommendation	831
refuse	226
remove	123
report	68_446_712_736
resume	167
review	365_807
rousseff	16_137
run	213
safety	826_848
sanders	187_211_262
say	96_154_324_387_405_481_498_594_618_631_663_713
scale	85
security	763
see	348
seem	738
senate	43_113
senator	50
sentence	540
serious	755
seritonio	718
seven	698
several	266
she	27_37_79_81_119_124_142_153_155_160_173_248_252_281_413_452_454_480_482_490
sherin	724
shocked	583
shoot	572
simple	47
singer	374_396
small	680
so	780
somewhat	743
sperm	510
spree	554
stab	553
standard	849
star	351
state	241_292_340_441_728
stewart	3
stop	33
strike	863
stringent	847
student	537
subway	557
supreme	20
suspect	671
suspend	145
swing	291
syria	689_801
taibei	576
taiwan	531_584
take	397
tell	450
than	280
that	80_141_180_268_366_489_737_781_833_845
the	6_12_19_34_53_72_76_84_87_103_112_133_168_181_191_197_219_256_277_303_306_317_338_349_355_361_372_375_383_395_436_439_499_504_528_581_615_654_676_691_697_714_795_810_815_818_830_865
there	733
they	398_473_664_770_782_785
this	234_605_752
those	621_721
through	787
time	216_574
to	22_32_122_139_158_166_217_227_242_250_295_371_412_427_435_541_607_656_674_683_706_739_748_765_776_797_802_841
tow	696
train	558
treatment	419_434
trial	61_150
trump	275
twice	353
two	170_858
u.s.	176
ultimately	791
us	339
use	503
victoria	727
victory	232
virginia	193
vote	41_51
wale	66
want	747
war	313_320
warrant	363_384
way	786
we	766_792
wear	842
wednesday	57
week	356
weigh	518
west	192
what	97_388
when	850
whether	394
which	585
who	347_538_566_622_669_760_768
will	62
win	190_239
with	5_132_321
woman	408
world	525
would	143_156_282_293
wound	648
year	171_432_470_560_606
yet	224_247
young	627
zheng	563
