%	395
's	65_177_200_307_332_480_485_718
happen	244
have	75_117_151_196_235_282_301_389_454_467_491_601_694_747_838_851_867_878
he	623_629_724_730_738_764_791_866
head	375
health	438
heights	761_780_809
hide	127
highlight	570
hindrance	609
hold	794
hollande	596
house	5_50
human	437_567_604_640_644_671
impeachment	16
important	759
impose	504
improve	369
in	8_47_51_58_135_198_309_343_382_469_496_546_549_561_610_619_776_784_801_812_840
injure	207
inside	273
international	528
internationally	825
into	303
iran	306_313_331_484
israel	806
israeli	752_785_798
it	97_250_430_572_621_688_815
italian	383
jobloss	450
joint	707
jorge	187
judge	140
judiciary	696
july	479
june	340
katy	209
ki-moon	831
kill	857
know	194
land	468
last	478
later	816
law	410_424_446
lead	33_448
leader	514_753
learn	868
least	218
leonardo	67
less	365_392
level	291
long	660
lower	4_49
macedonian	555
major	276
make	771_790
margin	37
market	311
meeting	342_800
member	1_877
migrant	535
minister	322_508
mohammed	325
more	203_530_834
most	133_178_537
mr.	703_788_863_869
must	41
nation	281
nearly	24
negotiation	318
netanyahu	755_789
new	563
news	522_708_884
not	252_315_457_607_647_822
now	193_338_370
nuclear	486
october	498
of	2_6_26_44_105_121_145_157_175_278_323_396_474_512_538_554_585_681_685_693_727_856
officer	234
offshore	384
oil	279_373_385
on	12_81_84_246_255_288_405_516_846
opec	344
opponent	31
opposition	40_836_850_875
order	52
organization	722
other	355
outside	87
over	305
own	731
paramount	335
part	400_460
participate	347
participation	333
party	876
peaceful	844
people	191_271
performance	144
place	415
plane	519
plot	735
police	233
politician	134_859
popularity	150
pose	431
power	719
powerful	179
presidency	732
president	19_114_186_594
press	682
pressure	359
price	295
proceedings	17
production	290
program	487
protest	845
qatar	324
quake	243
question	701
recognize	824
referendum	381
refugee	533_576
remain	783
remark	749
repeal	408_444
report	211_564
rescue	165_223
respect	603
right	377_605
rights	568_641_645_672
rise	221
risk	432
rocha	68
role	308
rousseff	21_116
run	302
sada	329
saleh	327
same	677
sanctions.the	505
sandeng	861_870
saturday	199_247
say	189_330_443_529_602_765_832_865
scandal	163
scrap	427
screen	86
search	172
secretary-general	829
secure	285
security	662
seem	137
senate	61
series	156
service	883
session	102
sharply	153
she	30_141_146_149
side	110_112
sisi	704
six	557
solo	860
speak	625
state	717
stop	76
strategically	758
subject	362
sunday	256
supporter	837
survivor	174
suspend	492
syria	777_811
syrian	745
system	697
take	399_414_459
talk	298_627
tamper	122
tehran	470_495
television	82
tell	705
tense	101
territory	762_804
terrorism	614_658
terrorist	721
than	204_393_531
that	258_429_578_710_766
the	3_39_45_48_59_71_79_88_94_124_143_184_213_242_259_275_297_310_317_320_358_376_402_418_423_441_445_452_462_489_500_518_524_552_566_583_592_611_676_691_716_744_751_757_774_779_795_802_808_827_849_854_858
themselves	352
they	539_651_818
this	820
though	257
thursday	847
till	339
time	678
to	14_53_77_111_126_138_171_195_220_238_284_292_300_363_407_413_417_425_433_449_458_482_494_588_655_714_772
toll	215
transport	507
trap	272_545
tremor	201
trial	57
trigger	54
troops	168_230
two	833_872
un	501_828
under	226_729
undermine	715
unnamed	873
until	253
up	294
urge	455
vice	185
visit	599
vote	11_27_46_80_403
voter	398_456
want	422
war	775
watch	78
watson	210
way	227_654
we	63_360
week	558
what	571_737
whatever	767
whether	13_406
which	698
while	793
who	597_635
wide	36
will	349_361
win	42
with	23_103_123_354_628
woman	540
worker	166
world	521_882
would	447_781
year	476
