's	20_40_196_205_216_334_616_653
fail	165_207_539_683_777
failure	252
fallujah	494_499
fast	412
fear	129
fellow	114
field	672
fighter	319
figure	12
final	825
find	536
fire	161
first	558_575
focus	563
follow	312_346_675_690
football	813
for	16_90_105_120_127_130_172_383_530_584_840
force	478_740
former	522
four	774
france	816
from	47_152_192_544_597_711
funeral	378
galabuli	311
game	618_788
gisela	88
govern	658
government	497
group	509_826
guan	190
guard	386
guilty	537
handler	769
hate	84
have	26_146_164_218_295_330_361_379_394_431_474_479_500_510_562_580_639_736_791_822
he	79_121_534_542_588
hello	1
here	195
hit	180
hold	582
hour	449
human	507
i	3
icc	561
if	100_243_607_723
illustrate	253_277
immigration	66_86_98
in	13_28_286_310_364_369_388_440_469_520_549_613_631_704_728_795_815_852
in-campaign	124
individually	721
international	517_592
into	231
involve	169
ioc	649
iraq	340
iraqi	477_496
islamist	485
issue	36
it	107_157_238_241_261_267_555_738_780_790
its	131_153_221_244_456_490_651_768
iwaf	663
jaguar	745_766
jail	529
japan	184_236
jean-pierre	526
johnson	111
jordan	329_436_454
julie	5
just	418
kenya	600_703
kill	296_354_387_545
kilometer	177
knell	375
korea	182_204_215_258
korean	141
laden	407
landmark	513
largest	118
last	842
launch	149_210_233
lead	398
least	298
leave	92
liberate	502
libyan	292
light	367
live	31
local	315
london	70
lorry	406
lose	823
maintain	665
make	792
manage	481
many	303
mason	56
match	827
mayor	71
mean	268
measure	627
meet	11
membership	21
militant	487
military	142_344_415_462_467_578
militia	318
missile	151_168_212_228
mistake	794
moment	747
more	304
move	230
must	601_718
news	9_505_857
north	145_203_214_257
northeastern	459
northern	457
now	719
nuclear	264
of	38_81_175_189_226_359_426_428_444_450_489_493_515_538_570_587_660_668_677_700_706_755_785
official	393
olympic	593_621_716_757_798
on	34_351_564_605
once	60
only	480
opponent	80_217
organize	783
out	115_488
outside	419
over	85_247
part	363_612_754
pass	602
pedal	82
people	300_316_360
place	309_382_854
play	847
position	234
post	416
president	525
procedure	688
project	83_128
qualify	839
question	46
range	174
rape	547
receive	117
record	642
rectify	685
referendum	41
refugee	422
refuse	94
regaba	473
region	336
remain	76
remote	442
repeated	274
report	324_376_646
represent	74
republic	553
responsible	126_583
richard	644
rights	508
rio	617_787
ruqban	421
russia	598_701
russian	669
say	143_158_237_595_625_737_764_789
seoul	193
set	96
sexual	565
shoot	240_742
side	837
six	355
soldier	356_772
south	140_181
spain	821_845
special	626
spokesman	763
sponsor	679
sport	717
state	486_678
stay	439
steve	72_197
stop	541_779
strong	50
stuart	89
subordinate	589
succeed	281
such	640
suggest	122
suicide	349_390
summer	731
support	650
suspension	667
syria	338
syrians	429
tackle	633
take	308_362_381_611
target	99_272
technological	255
television	32
ten	425
terrorist	399
test	160_687
testing	275_698
that	353_476_674
the	14_23_29_35_48_63_69_75_91_113_123_136_139_144_159_167_173_186_202_211_224_227_248_251_254_278_287_291_306_326_332_347_365_370_384_420_445_451_484_516_550_557_560_574_585_591_620_636_648_656_662_666_691_696_749_756_765_782_786_797_804_810_818_841
there	58_101_321
they	43_608_707_724_824_829
this	200_441_614_730
thomas	623
those	712
thousand	427
thursday	39
time	559_576
to	95_135_148_163_179_209_220_269_280_290_341_434_482_540_610_632_664_684_726_741_778_800
torch	758_799
tournament	814
towards	413
town	288
track	225_670
trajectory	245
tranquilize	775
trepidation	222
tripoli	294
troops	543
try	433
tuesday	352
turkey	849
two	637
union	25
unsatisfactory	641
up	851
us	466
use	752
vice	524
vigil	368
violence	566
vote	104
want	609
war	571
watch	219
we	53
weapon	569
week	652
welcome	511
where	844
which	392_521
who	430
wild	806
will	628_846
with	7_337_408
within	448
world	657_692
would	239
wound	302
year	532_615
yolande	374
zone	345_463
