's	179_208_260_273_288_722_806_814
rescue	408
response	153
review	206
rifle	611_645
rights	188_518_724_759
rule	573
rupert	445
russian	522_545
sandy	586_634
say	94_183_203_222_509_543_699_726_761_826
schauble	93
school	588_595_649
sea	534
search	167_197_274
secrecy	250
secret	53
secretary	504
seize	276
sell	660
semi-automactic	644
serious	313
set	318
several	296
share	49_72
shoot	520
shooting	589_636_650
shorten	803
should	97_133_266_656_702
sideline	80
simulated	559
small	626
smit	6
southern	423
spain	47
speak	77
speech	191
sport	853
standard	118
state	264_506_569_749
stick	421
strike	450
structure	143
student	778
submission	209
sue	157
superior	696
take	401_776
tax	24_102_146
teacher	599_746
tech	297
tell	331_396
than	371
that	69_109_163_254_295_334_369_574_642_667_682_700_701_727_735
the	8_12_32_52_79_88_116_129_173_184_199_216_245_258_271_280_285_306_321_329_332_340_347_365_375_379_397_405_413_422_448_499_502_510_532_536_539_567_579_581_585_610_630_633_643_648_664_680_695_707_711_729_741_748_756_777_785_790_793_804_812_827_850
there	467
they	36_120_277_639_686_691_716_774_780_783_834
this	149_255_454_465_623_671
those	242
throughout	412
thwart	101
time	466
to	19_22_34_100_107_136_166_227_230_387_475_485_519_527_661_676_787_797_802_809_848
together	21_99
tokyo	443
too	831
town	425
training	745
trap	494
treat	438
trust	58
trustee	344
tsunami	471
two	752_767
under	239
unreasonable	195
unspent	350
up	319
urge	28
us	158_511_568
use	284_583_646_689
user	235
uss	540
vessel	552
victim	637
victory	628
violate	186
vote	798
vulnerable	389
warship	530
washington	86_621
we	105
weapon	582_654
what	554
when	456_602
which	263_524
who	356_825
will	48_713_837_844
wingfield-hayes	446
with	7_145_609
within	516_548
without	176
witness	764
wolfgang	92
work	20_98
world	496
would	400_513
year	753
zeman	817
